"","ny_grk","gammel_grk","fra_aar","til_aar"
"5458","30200600","30200610","2020-01-01","2024-01-01"
"5459","30200600","30200611","2020-01-01","2024-01-01"
"5460","30200600","30200612","2020-01-01","2024-01-01"
"5461",NA,"30200700","2020-01-01","2024-01-01"
"5462","30200700","30200701","2020-01-01","2024-01-01"
"5463","30200700","30200702","2020-01-01","2024-01-01"
"5464","30200700","30200703","2020-01-01","2024-01-01"
"5465","30200700","30200704","2020-01-01","2024-01-01"
"5466","30200700","30200705","2020-01-01","2024-01-01"
"5467","30200700","30200706","2020-01-01","2024-01-01"
"5468","30200700","30200707","2020-01-01","2024-01-01"
"5469","30200700","30200708","2020-01-01","2024-01-01"
"5470","30200700","30200709","2020-01-01","2024-01-01"
"5471","30200700","30200710","2020-01-01","2024-01-01"
"5472","30200700","30200711","2020-01-01","2024-01-01"
"5473","30200700","30200712","2020-01-01","2024-01-01"
"5474","30200700","30200713","2020-01-01","2024-01-01"
"5475","30200700","30200714","2020-01-01","2024-01-01"
"5476","30200700","30200715","2020-01-01","2024-01-01"
"5477",NA,"30200800","2020-01-01","2024-01-01"
"5478","30200800","30200801","2020-01-01","2024-01-01"
"5479","30200800","30200802","2020-01-01","2024-01-01"
"5480","30200800","30200803","2020-01-01","2024-01-01"
"5481","30200800","30200804","2020-01-01","2024-01-01"
"5482","30200800","30200806","2020-01-01","2024-01-01"
"5483","30200800","30200807","2020-01-01","2024-01-01"
"5484","30200800","30200808","2020-01-01","2024-01-01"
"5485","30200800","30200809","2020-01-01","2024-01-01"
"5486","30200800","30200810","2020-01-01","2024-01-01"
"5487",NA,"30200900","2020-01-01","2024-01-01"
"5488","30200900","30200901","2020-01-01","2024-01-01"
"5489","30200900","30200902","2020-01-01","2024-01-01"
"5490","30200900","30200903","2020-01-01","2024-01-01"
"5491","30200900","30200904","2020-01-01","2024-01-01"
"5492","30200900","30200905","2020-01-01","2024-01-01"
"5493","30200900","30200906","2020-01-01","2024-01-01"
"5494","30200900","30200907","2020-01-01","2024-01-01"
"5495","30200900","30200908","2020-01-01","2024-01-01"
"5496","30200900","30200909","2020-01-01","2024-01-01"
"5497",NA,"30201000","2020-01-01","2024-01-01"
"5498","30201000","30201001","2020-01-01","2024-01-01"
"5499","30201000","30201002","2020-01-01","2024-01-01"
"5500","30201000","30201003","2020-01-01","2024-01-01"
"5501","30201000","30201005","2020-01-01","2024-01-01"
"5502","30201000","30201006","2020-01-01","2024-01-01"
"5503","30201000","30201007","2020-01-01","2024-01-01"
"5504",NA,"30201100","2020-01-01","2024-01-01"
"5505","30201100","30201101","2020-01-01","2024-01-01"
"5506",NA,"30209900","2020-01-01","2024-01-01"
"5507","30209900","30209999","2020-01-01","2024-01-01"
"5508",NA,"30210100","2020-01-01","2024-01-01"
"5509","30210100","30210101","2020-01-01","2024-01-01"
"5510","30210100","30210102","2020-01-01","2024-01-01"
"5511","30210100","30210103","2020-01-01","2024-01-01"
"5512","30210100","30210104","2020-01-01","2024-01-01"
"5513","30210100","30210105","2020-01-01","2024-01-01"
"5514","30210100","30210106","2020-01-01","2024-01-01"
"5515","30210100","30210107","2020-01-01","2024-01-01"
"5516","30210100","30210108","2020-01-01","2024-01-01"
"5517","30210100","30210109","2020-01-01","2024-01-01"
"5518","30210100","30210110","2020-01-01","2024-01-01"
"5519",NA,"30210200","2020-01-01","2024-01-01"
"5520","30210200","30210201","2020-01-01","2024-01-01"
"5521","30210200","30210202","2020-01-01","2024-01-01"
"5522","30210200","30210203","2020-01-01","2024-01-01"
"5523","30210200","30210204","2020-01-01","2024-01-01"
"5524","30210200","30210205","2020-01-01","2024-01-01"
"5525","30210200","30210206","2020-01-01","2024-01-01"
"5526","30210200","30210207","2020-01-01","2024-01-01"
"5527","30210200","30210208","2020-01-01","2024-01-01"
"5528","30210200","30210209","2020-01-01","2024-01-01"
"5529","30210200","30210210","2020-01-01","2024-01-01"
"5530","30210200","30210211","2020-01-01","2024-01-01"
"5531","30210200","30210212","2020-01-01","2024-01-01"
"5532","30210200","30210213","2020-01-01","2024-01-01"
"5533","30210200","30210214","2020-01-01","2024-01-01"
"5534","30210200","30210215","2020-01-01","2024-01-01"
"5535","30210200","30210216","2020-01-01","2024-01-01"
"5536","30210200","30210217","2020-01-01","2024-01-01"
"5537","30210200","30210218","2020-01-01","2024-01-01"
"5538","30210200","30210219","2020-01-01","2024-01-01"
"5539","30210200","30210220","2020-01-01","2024-01-01"
"5540","30210200","30210221","2020-01-01","2024-01-01"
"5541","30210200","30210222","2020-01-01","2024-01-01"
"5542","30210200","30210223","2020-01-01","2024-01-01"
"5543","30210200","30210224","2020-01-01","2024-01-01"
"5544","30210200","30210225","2020-01-01","2024-01-01"
"5545","30210200","30210227","2020-01-01","2024-01-01"
"5546","30210200","30210228","2020-01-01","2024-01-01"
"5547","30210200","30210229","2020-01-01","2024-01-01"
"5548","30210200","30210230","2020-01-01","2024-01-01"
"5549","30210200","30210231","2020-01-01","2024-01-01"
"5550","30210200","30210232","2020-01-01","2024-01-01"
"5551",NA,"30210300","2020-01-01","2024-01-01"
"5552","30210300","30210301","2020-01-01","2024-01-01"
"5553","30210300","30210302","2020-01-01","2024-01-01"
"5554","30210300","30210303","2020-01-01","2024-01-01"
"5555",NA,"30219900","2020-01-01","2024-01-01"
"5556","30219900","30219999","2020-01-01","2024-01-01"
"5557",NA,"30220100","2020-01-01","2024-01-01"
"5558","30220100","30220101","2020-01-01","2024-01-01"
"5559","30220100","30220102","2020-01-01","2024-01-01"
"5560","30220100","30220103","2020-01-01","2024-01-01"
"5561","30220100","30220104","2020-01-01","2024-01-01"
"5562","30220100","30220105","2020-01-01","2024-01-01"
"5563","30220100","30220106","2020-01-01","2024-01-01"
"5564",NA,"30220200","2020-01-01","2024-01-01"
"5565","30220200","30220201","2020-01-01","2024-01-01"
"5566","30220200","30220202","2020-01-01","2024-01-01"
"5567","30220200","30220203","2020-01-01","2024-01-01"
"5568","30220200","30220204","2020-01-01","2024-01-01"
"5569","30220200","30220205","2020-01-01","2024-01-01"
"5570","30220200","30220206","2020-01-01","2024-01-01"
"5571","30220200","30220207","2020-01-01","2024-01-01"
"5572","30220200","30220208","2020-01-01","2024-01-01"
"5573","30220200","30220209","2020-01-01","2024-01-01"
"5574",NA,"30220300","2020-01-01","2024-01-01"
"5575","30220300","30220301","2020-01-01","2024-01-01"
"5576","30220300","30220302","2020-01-01","2024-01-01"
"5577","30220300","30220303","2020-01-01","2024-01-01"
"5578","30220300","30220304","2020-01-01","2024-01-01"
"5579","30220300","30220305","2020-01-01","2024-01-01"
"5580","30220300","30220306","2020-01-01","2024-01-01"
"5581","30220300","30220307","2020-01-01","2024-01-01"
"5582","30220300","30220308","2020-01-01","2024-01-01"
"5583","30220300","30220309","2020-01-01","2024-01-01"
"5584",NA,"30229900","2020-01-01","2024-01-01"
"5585","30229900","30229999","2020-01-01","2024-01-01"
